id,split,b_mm,h_mm,truth_deflection_mm,predicted_deflection_mm,mass_kg
0,train,33.37027882733733,17.618639550066003,0.39137674491142826,0.3910867658463814,0.7937175343644752
1,train,24.490285238838116,19.401723562307,0.3993532136996019,0.3993397466628327,0.6414575546240796
2,test,27.149158668533566,39.67285888337247,0.04213423335154259,0.0421267122927364,1.454064399889678
3,train,37.751466646585726,23.666370427958384,0.14273916836830433,0.14274303813781283,1.2061442617066984
4,train,25.85620519719334,16.21951352745136,0.6474313213821321,0.6468184198261433,0.566156344451988
5,test,21.057327212088047,30.063981043128127,0.12483295521817,0.1247819604886794,0.8546405662662676
6,train,21.097070927502802,14.365916553696621,1.1419570841662423,1.141664076291461,0.4091563266370977
7,validation,28.90670022231974,17.50863179081196,0.46038039064345465,0.4600248291639456,0.6832576401479711
8,train,32.14186139395986,36.98802393084296,0.04391547156328315,0.043905184479392824,1.6049663168691932
9,test,23.255384276964797,36.75962669284492,0.061835114182480944,0.06185646105455314,1.1540599802368396
10,train,26.767530555508056,36.816462389828615,0.05347336196361465,0.05348364330347037,1.3304058056533583
11,train,35.24847895368595,21.30921097861756,0.20942545875893817,0.20937190269519435,1.0140083208442638
12,validation,39.17770777282398,32.37611206255594,0.053722827000568366,0.05370590124061035,1.7123695072294742
13,test,15.457007054631152,23.54774358582167,0.35391475159789487,0.35396537395090394,0.4913698122810329
14,test,23.404401758611815,13.00015899518685,1.3890837414504726,1.3909626733992289,0.4107522744663988
15,test,10.172428582318972,36.39012749961035,0.14571242407313054,0.1452669921418772,0.4997375636732118
16,train,24.70237165782232,32.85212658441462,0.08155354616272716,0.08155517279726346,1.095559344861347
17,train,36.1236037171812,15.986052479386228,0.48401318446480646,0.48395416809651226,0.7795896634360037
18,test,23.096808380813087,11.348487470761198,2.115953139638238,2.118325961595827,0.3538536847077099
19,train,26.308878377618257,32.58687764041111,0.0784587493989426,0.07844710428331074,1.1573876707396702
20,train,16.91623599016983,37.478929653970354,0.08020596908511941,0.08018302924075292,0.8559032652254744
21,validation,21.097871915147856,15.483974955942415,0.9119812978685543,0.9108993584559026,0.4410165424830709
22,train,29.58631550114604,32.542339136462466,0.07005429712344118,0.07005527896778259,1.2997906823295058
23,validation,28.7014780503606,21.93132435388341,0.23592454607852698,0.2360574113642888,0.8497729231537369
24,validation,28.94991806174815,35.88211234424652,0.05340606999732478,0.053421079483534334,1.402358686535311
25,train,16.808919624671837,36.118020532635406,0.0901904060403549,0.09019349812919847,0.8195916205826762
26,validation,11.939904145044519,25.832794576988256,0.34702195550153164,0.3472685849398702,0.41639547291461865
27,train,10.267882734000679,17.671243606975853,1.26063605060892,1.2604802679249707,0.2449524471125228
28,train,21.480907794263842,28.555486955623874,0.142807370198665,0.14275104976214925,0.8280870061239815
29,train,31.64302372437274,15.638973611999777,0.5901592885711163,0.5902195721926662,0.6680669575896201
30,train,11.496422706355368,35.62954016955203,0.13736579002514046,0.1373654103425071,0.5529765437400221
31,test,29.563021142612975,36.80414029233238,0.04846554690233517,0.04846791212526213,1.468856129757187
32,test,16.696905312293325,28.294216882601344,0.18886128725539936,0.18873929681662704,0.6377749112352858
33,train,38.88210339611281,29.09094359164417,0.07461889077019766,0.07460950575013046,1.5270080534380719
34,test,38.952602777883456,17.606171305436877,0.3360011104498037,0.33595388132683385,0.9258383663550708
35,train,33.32078256182767,24.027566877850624,0.15453518897514287,0.15458051421867278,1.0808333974259547
36,train,17.129457423740707,14.467195886980141,1.3771310544310873,1.3785656304261678,0.334550541582373
37,train,16.60654215195476,32.09580062127188,0.13009125745893899,0.13007438206466118,0.7195503589891477
38,train,23.06831339996611,31.266658599040152,0.10130052742432187,0.10127074015899701,0.9737132573687449
39,train,38.91037130263621,14.094875408809747,0.6555757271840043,0.6550914571863085,0.7403897280885978
40,train,34.86818515699047,16.262808714567775,0.4762729971920979,0.4761564567720684,0.7655237443335611
41,test,10.928039014725185,32.0166626117381,0.1991597392770062,0.19905981312844132,0.47233710649219557
